x_est	y_est	vx_est	vy_est	yaw_est	yaw_rate_est	px	py	timestamp	x_gt	y_gt	vx_gt	vy_gt	yaw_gt	yawrate_gt
0.312243	0.58034	0	0	0	0	0.312243	0.580340	1477010443000000	0.600000	0.600000	5.199937	0.000000	0.000000	0.006911
1.16051	0.494921	7.15667	-0.914767	-0.127131	-0.0118476	1.173848	0.481073	1477010443100000	1.119984	0.600225	5.199429	0.005390	0.001037	0.020730
1.61596	0.595331	7.11995	1.15825	0.161263	0.0462054	1.650626	0.624690	1477010443200000	1.639904	0.601347	5.198392	0.017960	0.003455	0.034535
2.16248	0.591836	5.99087	0.248565	0.0414668	-0.172345	2.188824	0.648739	1477010443300000	2.159704	0.604086	5.196776	0.037693	0.007253	0.048318
2.65447	0.656006	5.56851	0.275494	0.0494332	-0.293322	2.655256	0.665980	1477010443400000	2.679323	0.609155	5.194504	0.064565	0.012429	0.062071
3.15585	0.646498	5.46281	-0.0518571	-0.00949246	-0.40721	3.012223	0.637046	1477010443500000	3.198690	0.617267	5.191470	0.098541	0.018979	0.075785
3.74524	0.429778	5.35754	-1.54097	-0.280066	-1.05966	3.893650	0.311793	1477010443600000	3.717722	0.629130	5.187542	0.139576	0.026900	0.089450
4.29899	0.507114	5.46989	-0.73953	-0.134385	-0.450935	4.309346	0.578564	1477010443700000	4.236322	0.645449	5.182560	0.187614	0.036185	0.103060
4.74383	0.656047	5.22495	0.0723911	0.013854	-0.0541328	4.351431	0.899174	1477010443800000	4.754374	0.666921	5.176340	0.242587	0.046830	0.116604
5.29463	0.650254	5.20413	-0.0181709	-0.00349161	-0.0760995	5.518935	0.648233	1477010443900000	5.271746	0.694234	5.168671	0.304413	0.058828	0.130074
5.84801	0.671502	5.3032	0.0365536	0.00689263	-0.0460944	6.022003	0.708619	1477010444000000	5.788279	0.728072	5.159319	0.372999	0.072171	0.143463
6.34323	0.711279	5.17768	0.144984	0.0279944	-0.00499025	6.342486	0.948833	1477010444100000	6.303794	0.769103	5.148029	0.448233	0.086850	0.156761
6.83924	0.741039	5.11838	0.185079	0.036144	0.00644986	6.782143	0.714036	1477010444200000	6.818081	0.817988	5.134523	0.529990	0.102857	0.169959
7.29779	0.807941	4.94885	0.321236	0.0648203	0.0439221	7.137350	0.957217	1477010444300000	7.330903	0.875373	5.118505	0.618123	0.120181	0.183051
7.84351	0.797919	5.11681	0.233193	0.0455424	0.0143746	7.805334	0.719126	1477010444400000	7.841995	0.941886	5.099659	0.712469	0.138811	0.196027
8.3285	0.833028	5.00993	0.264911	0.052828	0.0208207	8.247959	0.840322	1477010444500000	8.351056	1.018142	5.077658	0.812843	0.158735	0.208879
