x_est	y_est	vx_est	vy_est	yaw_est	yaw_rate_est	px	py	timestamp	x_gt	y_gt	vx_gt	vy_gt	yaw_gt	yawrate_gt
0.734864	0.628998	7.21527	2.44512e-16	3.38881e-17	-1.79637e-17	0.862916	0.534212	1477010443050000	0.859997	0.600045	5.199747	0.001797	0.000346	0.013822
1.2578	0.533164	7.14956	0.87727	0.122092	0.0304428	0.969149	0.397513	1477010443150000	1.379955	0.600629	5.198979	0.010778	0.002073	0.027634
1.85119	0.562405	5.98808	0.164249	0.0274225	-0.224389	1.623309	0.499091	1477010443250000	1.899823	0.602470	5.197661	0.026932	0.005182	0.041430
2.37792	0.638695	5.55472	0.344152	0.0618775	-0.299193	1.967008	0.557117	1477010443350000	2.419540	0.606284	5.195728	0.050239	0.009669	0.055199
2.92025	0.650811	5.49672	0.033189	0.00603789	-0.424029	2.920341	0.645898	1477010443450000	2.939043	0.612786	5.193090	0.080668	0.015532	0.068933
3.44108	0.543582	5.42423	-0.856315	-0.156576	-0.817199	3.560959	0.485311	1477010443550000	3.458253	0.622685	5.189627	0.118180	0.022768	0.082624
4.02451	0.515589	5.48259	-0.773214	-0.140107	-0.528658	4.197862	0.698311	1477010443650000	3.977082	0.636689	5.185194	0.162724	0.031372	0.096263
4.55673	0.548324	5.37967	-0.470589	-0.0872533	-0.296871	4.619083	0.689510	1477010443750000	4.495424	0.655498	5.179618	0.214238	0.041338	0.109840
4.9922	0.658538	5.11515	0.050668	0.00990514	-0.0558982	5.209015	0.665990	1477010443850000	5.013155	0.679804	5.172700	0.272649	0.052660	0.123349
5.55123	0.65848	5.25437	0.0115927	0.0022063	-0.0590311	5.228345	0.639362	1477010443950000	5.530128	0.710295	5.164221	0.337868	0.065332	0.136779
6.08703	0.600339	5.18592	-0.230748	-0.0444658	-0.123853	5.893921	0.373584	1477010444050000	6.046176	0.747647	5.153933	0.409793	0.079344	0.150124
6.59035	0.743104	5.11628	0.217266	0.0424401	0.0143708	6.621337	0.836138	1477010444150000	6.561105	0.792523	5.141571	0.488305	0.094688	0.163373
7.0774	0.72559	4.9848	0.108756	0.021814	-0.0143344	7.291210	0.630741	1477010444250000	7.074691	0.845578	5.126847	0.573269	0.111355	0.176519
7.59006	0.817959	5.12065	0.3164	0.0617106	0.0344153	8.083490	0.819605	1477010444350000	7.586684	0.907449	5.109456	0.664531	0.129333	0.189554
8.08932	0.8151	5.02157	0.243278	0.0484087	0.0156902	8.404531	0.884557	1477010444450000	8.096800	0.978759	5.089074	0.761915	0.148612	0.202468
8.59821	0.915773	5.15788	0.443265	0.0857287	0.054623	8.458583	1.411179	1477010444550000	8.604722	1.060109	5.065366	0.865226	0.169179	0.215255
9.12871	1.01049	5.18882	0.58202	0.111701	0.0751145	9.880899	1.141897	1477010444650000	9.110101	1.152082	5.037982	0.974245	0.191022	0.227907
9.64843	1.11287	5.20684	0.717035	0.136849	0.0926466	10.101575	1.524740	1477010444750000	9.612549	1.255239	5.006562	1.088727	0.214126	0.240414
10.1733	1.31644	5.07022	1.01549	0.19767	0.141843	10.537735	1.725549	1477010444850000	10.111650	1.370112	4.970739	1.208405	0.238478	0.252769
10.6281	1.47025	4.84588	1.15573	0.234124	0.163497	10.908441	1.703425	1477010444950000	10.606930	1.497206	4.930142	1.332982	0.264060	0.264964
11.1174	1.559	4.89087	1.18732	0.238155	0.151881	11.478259	1.428761	1477010445050000	11.097900	1.636997	4.884396	1.462135	0.290859	0.276993
11.6272	1.66717	4.86512	1.2277	0.247187	0.14629	11.476336	1.539172	1477010445150000	11.584030	1.789925	4.833131	1.595511	0.318855	0.288846
12.1145	1.82082	4.91704	1.36561	0.270902	0.154351	12.135975	2.149368	1477010445250000	12.064750	1.956393	4.775977	1.732729	0.348033	0.300517
12.6131	1.9237	4.97469	1.3868	0.271869	0.140823	12.545667	1.777278	1477010445350000	12.539440	2.136766	4.712575	1.873377	0.378373	0.311998
13.0864	2.15359	4.99325	1.63993	0.317331	0.168812	13.219751	2.664405	1477010445450000	13.007470	2.331365	4.642576	2.017013	0.409856	0.323282
13.4733	2.41056	4.653	1.84183	0.376912	0.210067	12.708725	3.124388	1477010445550000	13.468160	2.540465	4.565645	2.163167	0.442462	0.334362
13.9444	2.63725	4.59182	1.99893	0.410582	0.221954	13.830231	2.738930	1477010445650000	13.920790	2.764295	4.481466	2.311336	0.476172	0.345230
14.4266	2.90479	4.64491	2.24027	0.449393	0.235597	14.556834	2.870211	1477010445750000	14.364620	3.003029	4.389744	2.460991	0.510962	0.355881
14.8645	3.13818	4.60607	2.37634	0.476299	0.238408	14.675440	3.960409	1477010445850000	14.798900	3.256787	4.290211	2.611572	0.546812	0.366307
15.2909	3.48143	4.41213	2.63986	0.539183	0.27569	15.368481	4.147613	1477010445950000	15.222810	3.525634	4.182627	2.762494	0.583699	0.376501
15.7182	3.80348	4.29135	2.84409	0.585285	0.292726	15.723413	3.410501	1477010446050000	15.635550	3.809572	4.066782	2.913146	0.621600	0.386458
16.1351	4.10932	4.10789	2.95444	0.623503	0.303062	16.337555	4.216325	1477010446150000	16.036280	4.108544	3.942506	3.062895	0.660490	0.396170
16.5437	4.47092	4.01155	3.18916	0.671682	0.318932	16.758648	4.482307	1477010446250000	16.424150	4.422425	3.809664	3.211085	0.700345	0.405632
16.8775	4.81418	3.67452	3.25916	0.725565	0.343569	16.923559	5.101187	1477010446350000	16.798290	4.751025	3.668167	3.357042	0.741140	0.414838
17.2136	5.20358	3.47995	3.46048	0.782592	0.364766	17.342072	4.646234	1477010446450000	17.157850	5.094087	3.517967	3.500079	0.782849	0.423782
17.5267	5.5526	3.27722	3.5486	0.825134	0.371337	17.646257	4.745974	1477010446550000	17.501930	5.451283	3.359066	3.639494	0.825446	0.432459
17.8577	5.87712	3.11854	3.56976	0.852761	0.364984	17.921644	6.071508	1477010446650000	17.829691	5.822214	3.191515	3.774579	0.868904	0.440862
18.1803	6.28288	3.00339	3.76327	0.897227	0.372137	18.124521	6.790266	1477010446750000	18.140249	6.206410	3.015416	3.904620	0.913195	0.448987
18.4385	6.73243	2.76917	3.9702	0.961758	0.397663	18.402227	7.022312	1477010446850000	18.432770	6.603332	2.830926	4.028904	0.958291	0.456828
18.7265	7.09273	2.69018	4.04127	0.98348	0.379435	18.808916	7.243876	1477010446950000	18.706409	7.012367	2.638255	4.146722	1.004165	0.464380
19.0063	7.43971	2.5178	3.97467	1.00614	0.369575	18.547945	7.401204	1477010447050000	18.960381	7.432831	2.437668	4.257374	1.050786	0.471640
19.2215	7.91358	2.31402	4.19482	1.0667	0.389821	19.308907	7.673748	1477010447150000	19.193899	7.863973	2.229486	4.360172	1.098126	0.478601
19.3995	8.34493	2.10315	4.31409	1.11719	0.398024	19.023918	8.171935	1477010447250000	19.406219	8.304973	2.014087	4.454448	1.146154	0.485260
19.5821	8.70154	1.91422	4.23832	1.14657	0.389599	19.684286	8.359019	1477010447350000	19.596649	8.754945	1.791900	4.539558	1.194841	0.491613
19.8127	9.10406	1.7951	4.23683	1.17004	0.37873	19.606087	9.486593	1477010447450000	19.764530	9.212939	1.563411	4.614883	1.244155	0.497655
19.9916	9.54932	1.58725	4.26893	1.21482	0.389812	19.616257	9.766063	1477010447550000	19.909250	9.677948	1.329157	4.679842	1.294066	0.503383
20.1392	10.0476	1.40914	4.47217	1.26555	0.399106	19.191061	11.549271	1477010447650000	20.030279	10.148900	1.089723	4.733887	1.344542	0.508793
20.2131	10.5497	1.07835	4.54678	1.33793	0.432869	19.677450	10.802982	1477010447750000	20.127110	10.624690	0.845742	4.776515	1.395550	0.513881
20.3004	11.09	0.829661	4.73668	1.3974	0.447451	19.433468	12.340181	1477010447850000	20.199341	11.104140	0.597892	4.807270	1.447059	0.518645
20.2962	11.5593	0.429951	4.6295	1.47819	0.490231	19.206337	12.241809	1477010447950000	20.246611	11.586050	0.346889	4.825745	1.499037	0.523081
20.3819	12.0495	0.306576	4.7588	1.50646	0.466565	19.965986	11.968760	1477010448050000	20.268650	12.069170	0.093487	4.831590	1.551450	0.527187
20.3285	12.5717	-0.098368	4.74694	1.59152	0.509453	20.019247	12.482250	1477010448150000	20.265249	12.552220	-0.161529	4.824512	1.604265	0.530960
20.34	13.0416	-0.29773	4.70892	1.63394	0.504664	20.915131	12.255508	1477010448250000	20.236300	13.033890	-0.417348	4.804279	1.657449	0.534397
20.2684	13.4864	-0.566229	4.64688	1.69205	0.510499	19.857958	13.523561	1477010448350000	20.181761	13.512860	-0.673135	4.770724	1.710968	0.537498
20.192	13.9759	-0.842683	4.62127	1.75116	0.521819	20.338749	13.530744	1477010448450000	20.101669	13.987790	-0.928043	4.723745	1.764789	0.540258
20.0627	14.4664	-1.15235	4.61115	1.81569	0.533556	19.671701	14.403819	1477010448550000	19.996170	14.457340	-1.181210	4.663306	1.818877	0.542677
19.8833	14.9472	-1.47904	4.58983	1.88253	0.541905	20.114891	14.016498	1477010448650000	19.865471	14.920160	-1.431773	4.589443	1.873199	0.544754
19.7307	15.366	-1.74477	4.32503	1.95424	0.575913	20.015749	15.344296	1477010448750000	19.709881	15.374920	-1.678869	4.502259	1.927720	0.546486
19.6109	15.7495	-1.86455	4.1513	1.99294	0.559954	19.938763	15.086375	1477010448850000	19.529800	15.820280	-1.921641	4.401925	1.982406	0.547873
19.4003	16.1766	-2.11046	4.09328	2.04684	0.553267	19.155634	16.002228	1477010448950000	19.325689	16.254950	-2.159249	4.288681	2.037221	0.548915
19.1751	16.5488	-2.32592	3.91031	2.1074	0.559277	19.400692	16.296164	1477010449050000	19.098120	16.677660	-2.390870	4.162835	2.092132	0.549609
18.8856	16.962	-2.66448	3.75354	2.18811	0.59506	18.837271	17.711206	1477010449150000	18.847719	17.087151	-2.615706	4.024759	2.147104	0.549957
18.5907	17.4167	-2.91116	3.787	2.22618	0.560844	18.817682	17.031565	1477010449250000	18.575220	17.482229	-2.832993	3.874888	2.202102	0.549957
18.2292	17.8103	-3.19883	3.68487	2.2857	0.553023	18.274904	17.487736	1477010449350000	18.281401	17.861740	-3.042000	3.713717	2.257091	0.549609
17.9221	18.1489	-3.36253	3.45063	2.34327	0.560268	18.302057	17.497992	1477010449450000	17.967140	18.224581	-3.242040	3.541796	2.312037	0.548915
17.6635	18.4598	-3.38052	3.2391	2.37756	0.537606	18.855764	18.136450	1477010449550000	17.633360	18.569719	-3.432473	3.359728	2.366904	0.547873
17.2819	18.7886	-3.61738	3.06509	2.43866	0.54546	17.794527	18.080076	1477010449650000	17.281050	18.896160	-3.612708	3.168166	2.421659	0.546486
16.954	19.0905	-3.70057	2.88819	2.47887	0.529522	16.939844	19.731085	1477010449750000	16.911261	19.202990	-3.782209	2.967804	2.476266	0.544754
16.5427	19.3635	-3.90484	2.67735	2.54056	0.536943	16.167433	20.220127	1477010449850000	16.525089	19.489370	-3.940499	2.759375	2.530692	0.542677
16.0878	19.616	-4.1489	2.43563	2.61075	0.554781	16.436588	18.274246	1477010449950000	16.123680	19.754530	-4.087163	2.543645	2.584901	0.540258
15.6928	19.8802	-4.20541	2.28165	2.64449	0.52615	16.232800	19.216629	1477010450050000	15.708220	19.997789	-4.221847	2.321406	2.638860	0.537498
15.2372	20.1812	-4.3915	2.20234	2.67675	0.504444	14.367704	21.340567	1477010450150000	15.279910	20.218531	-4.344266	2.093474	2.692535	0.534397
14.8227	20.3911	-4.45125	1.97754	2.72352	0.50298	14.747648	19.957083	1477010450250000	14.839990	20.416229	-4.454198	1.860679	2.745891	0.530960
14.3677	20.5994	-4.57974	1.77548	2.77175	0.504921	13.840960	21.003067	1477010450350000	14.389720	20.590441	-4.551492	1.623862	2.798894	0.527187
13.8826	20.748	-4.71193	1.5027	2.83288	0.517111	13.823233	20.859047	1477010450450000	13.930370	20.740810	-4.636061	1.383865	2.851512	0.523081
13.3524	20.852	-4.90831	1.16607	2.90835	0.546146	13.826259	20.426098	1477010450550000	13.463220	20.867060	-4.707889	1.141531	2.903712	0.518645
12.8773	20.9503	-4.92987	0.8916	2.96267	0.54608	13.266908	21.157881	1477010450650000	12.989530	20.969009	-4.767024	0.897694	2.955459	0.513881
12.4329	21.0308	-4.90125	0.6303	3.01369	0.545763	11.517070	21.672421	1477010450750000	12.510560	21.046530	-4.813579	0.653175	3.006722	0.508793
11.9475	21.0889	-4.9386	0.364303	3.06796	0.548711	12.385851	21.106565	1477010450850000	12.027570	21.099609	-4.847729	0.408778	3.057468	0.503383
11.46	21.0483	-4.92289	-0.00860363	3.14334	0.567814	11.526454	20.674807	1477010450950000	11.541790	21.128300	-4.869711	0.165281	3.107665	0.497655
10.9934	21.0038	-4.87299	-0.336451	3.21053	0.578994	10.555801	20.556721	1477010451050000	11.054410	21.132721	-4.879818	-0.076565	3.157282	0.491613
10.5486	20.9571	-4.72107	-0.575336	3.26286	0.56781	9.305350	21.389612	1477010451150000	10.566610	21.113079	-4.878398	-0.316040	3.206286	0.485260
10.0246	20.9633	-4.7963	-0.73201	3.29304	0.543292	9.979577	21.293158	1477010451250000	10.079520	21.069660	-4.865850	-0.552463	3.254647	0.478601
9.62312	20.9024	-4.55839	-0.899795	3.33648	0.5274	9.382226	21.111034	1477010451350000	9.594224	21.002781	-4.842616	-0.785189	3.302335	0.471640
9.22308	20.8053	-4.41732	-1.12766	3.39153	0.530947	9.633917	20.972372	1477010451450000	9.111770	20.912849	-4.809186	-1.013619	3.349320	0.464380
8.70589	20.696	-4.49151	-1.35273	3.43413	0.521118	9.846336	20.008980	1477010451550000	8.633149	20.800329	-4.766084	-1.237197	3.395571	0.456828
8.18881	20.535	-4.5387	-1.61889	3.48421	0.518346	8.296473	20.497784	1477010451650000	8.159301	20.665720	-4.713869	-1.455416	3.441059	0.448987
7.72427	20.3707	-4.50618	-1.8656	3.53412	0.519744	8.290808	20.656542	1477010451750000	7.691106	20.509590	-4.653129	-1.667815	3.485756	0.440862
7.17169	20.2138	-4.58481	-2.02695	3.55786	0.491655	7.092139	20.119604	1477010451850000	7.229386	20.332550	-4.584476	-1.873985	3.529634	0.432459
6.68284	20.0364	-4.5287	-2.17264	3.58891	0.473083	6.893588	20.153589	1477010451950000	6.774898	20.135220	-4.508543	-2.073567	3.572665	0.423782
6.2228	19.8493	-4.44483	-2.31454	3.62168	0.459939	6.676368	20.214184	1477010452050000	6.328338	19.918289	-4.425978	-2.266252	3.614821	0.414838
5.71792	19.6125	-4.48453	-2.54965	3.65856	0.454667	5.281776	19.503643	1477010452150000	5.890335	19.682449	-4.337438	-2.451782	3.656077	0.405632
5.34762	19.343	-4.23724	-2.75641	3.71833	0.468779	5.950599	18.985918	1477010452250000	5.461452	19.428440	-4.243590	-2.629947	3.696405	0.396170
4.96096	19.1264	-4.02744	-2.80107	3.74929	0.452706	5.873971	19.300993	1477010452350000	5.042187	19.157000	-4.145100	-2.800587	3.735781	0.386458
4.58838	18.8297	-3.88023	-3.01902	3.80281	0.462257	3.986791	19.045200	1477010452450000	4.632969	18.868879	-4.042634	-2.963587	3.774179	0.376501
4.24233	18.5558	-3.65177	-3.09478	3.84462	0.456574	4.692455	18.463356	1477010452550000	4.234162	18.564850	-3.936854	-3.118879	3.811576	0.366307
3.9195	18.236	-3.53053	-3.36926	3.90362	0.475783	3.424335	18.835678	1477010452650000	3.846064	18.245689	-3.828411	-3.266436	3.847947	0.355881
3.50788	17.9383	-3.45034	-3.4094	3.92102	0.445116	4.301099	17.926744	1477010452750000	3.468909	17.912161	-3.717946	-3.406272	3.883270	0.345230
3.0875	17.5862	-3.47789	-3.63356	3.94888	0.432845	2.656637	17.888010	1477010452850000	3.102868	17.565041	-3.606085	-3.538439	3.917523	0.334362
2.75604	17.2549	-3.35645	-3.80443	3.98947	0.436603	3.266468	17.089741	1477010452950000	2.748048	17.205080	-3.493438	-3.663024	3.950683	0.323282
2.42687	16.9009	-3.14485	-3.7996	4.021	0.420913	2.550391	16.888351	1477010453050000	2.404499	16.833040	-3.380593	-3.780145	3.982731	0.311998
2.09758	16.5318	-2.99866	-3.851	4.05079	0.406918	1.577348	16.048872	1477010453150000	2.072212	16.449659	-3.268118	-3.889950	4.013645	0.300517
1.79276	16.1258	-2.83014	-3.93403	4.08876	0.401062	1.743625	16.268667	1477010453250000	1.751122	16.055660	-3.156560	-3.992610	4.043406	0.288846
1.45161	15.7259	-2.82229	-4.13599	4.11359	0.391207	1.609703	15.552609	1477010453350000	1.441111	15.651740	-3.046439	-4.088322	4.071995	0.276993
1.12739	15.3125	-2.73662	-4.20651	4.13561	0.37389	0.828993	15.528008	1477010453450000	1.142010	15.238590	-2.938250	-4.177299	4.099395	0.264964
0.785693	14.9099	-2.68531	-4.19677	4.14318	0.343246	1.031466	15.213392	1477010453550000	0.853604	14.816860	-2.832463	-4.259770	4.125587	0.252769
0.556988	14.4597	-2.50023	-4.3869	4.19437	0.361042	0.722177	14.244495	1477010453650000	0.575628	14.387200	-2.729522	-4.335977	4.150556	0.240414
0.243975	13.9821	-2.49887	-4.63868	4.21826	0.353788	-0.032802	13.960442	1477010453750000	0.307779	13.950220	-2.629841	-4.406172	4.174286	0.227907
0.107183	13.4958	-2.15165	-4.78988	4.29019	0.388555	0.052441	13.637709	1477010453850000	0.049710	13.506500	-2.533811	-4.470610	4.196761	0.215255
-0.165961	13.0433	-2.07356	-4.75538	4.3012	0.360523	-0.275043	13.145623	1477010453950000	-0.198962	13.056610	-2.441793	-4.529552	4.217968	0.202468
-0.284424	12.5999	-1.74165	-4.6727	4.35561	0.374682	-0.684792	12.356339	1477010454050000	-0.438654	12.601080	-2.354123	-4.583257	4.237893	0.189554
-0.508929	12.1568	-1.66513	-4.65757	4.36904	0.351252	-0.972122	12.520708	1477010454150000	-0.669818	12.140430	-2.271110	-4.631982	4.256523	0.176519
-0.699424	11.7122	-1.55798	-4.65775	4.3896	0.336982	-1.267572	11.649511	1477010454250000	-0.892931	11.675130	-2.193038	-4.675979	4.273847	0.163373
-0.96888	11.2417	-1.59674	-4.6213	4.37971	0.29322	-0.891441	10.958993	1477010454350000	-1.108503	11.205650	-2.120166	-4.715491	4.289853	0.150124
-1.22617	10.7667	-1.6583	-4.76066	4.3772	0.266885	-1.298943	10.901204	1477010454450000	-1.317063	10.732430	-2.052728	-4.750751	4.304533	0.136779
-1.45337	10.2464	-1.66133	-4.91546	4.38646	0.252007	-1.592934	10.021196	1477010454550000	-1.519166	10.255870	-1.990935	-4.781982	4.317875	0.123349
-1.63359	9.81058	-1.57055	-4.82622	4.39778	0.238388	-1.597015	9.965538	1477010454650000	-1.715386	9.776375	-1.934975	-4.809388	4.329873	0.109840
-1.82484	9.33852	-1.53786	-4.89334	4.40789	0.227277	-2.271911	9.373161	1477010454750000	-1.906314	9.294310	-1.885015	-4.833160	4.340518	0.096263
-1.99416	8.82389	-1.45856	-4.88962	4.4225	0.216167	-1.965655	9.132736	1477010454850000	-2.092558	8.810032	-1.841199	-4.853471	4.349804	0.082624
-2.21932	8.31608	-1.51437	-4.94392	4.41515	0.187938	-2.658625	8.194774	1477010454950000	-2.274737	8.323878	-1.803653	-4.870475	4.357724	0.068933
-2.32786	7.87843	-1.34513	-4.84265	4.44145	0.194319	-2.272998	8.523150	1477010455050000	-2.453484	7.836172	-1.772481	-4.884304	4.364274	0.055199
-2.58997	7.39363	-1.49576	-4.78604	4.40948	0.140732	-3.082565	7.388735	1477010455150000	-2.629442	7.347226	-1.747769	-4.895069	4.369450	0.041430
-2.76489	6.90371	-1.47993	-4.84772	4.41609	0.135413	-2.794116	7.208175	1477010455250000	-2.803258	6.857341	-1.729583	-4.902861	4.373248	0.027634
-2.86086	6.48769	-1.31816	-4.65059	4.43619	0.136714	-2.576725	6.367548	1477010455350000	-2.975588	6.366810	-1.717972	-4.907743	4.375667	0.013822
-3.04095	6.00287	-1.35452	-4.72209	4.43304	0.120627	-3.501724	6.107957	1477010455450000	-3.147091	5.875923	-1.712966	-4.909760	4.376703	-0.000000
-3.23741	5.47779	-1.4318	-4.7539	4.41985	0.0895823	-3.197357	5.190926	1477010455550000	-3.318429	5.384965	-1.714580	-4.908930	4.376358	-0.013822
-3.41374	4.96547	-1.45815	-4.8433	4.41996	0.0817908	-3.428097	4.946441	1477010455650000	-3.490264	4.894220	-1.722807	-4.905246	4.374630	-0.027634
-3.64628	4.42402	-1.616	-4.90293	4.394	0.0414973	-3.505010	4.176431	1477010455750000	-3.663255	4.403976	-1.737625	-4.898679	4.371522	-0.041430
-3.87001	3.90331	-1.71399	-4.9921	4.38166	0.0285994	-4.064470	4.109769	1477010455850000	-3.838060	3.914523	-1.758994	-4.889177	4.367034	-0.055199
-4.03778	3.47448	-1.70137	-4.81804	4.37293	0.0108101	-4.237290	3.888781	1477010455950000	-4.015331	3.426159	-1.786856	-4.876663	4.361171	-0.068933
-4.24958	2.96836	-1.80332	-4.85589	4.35681	-0.0115042	-4.274673	2.881872	1477010456050000	-4.195715	2.939189	-1.821133	-4.861036	4.353935	-0.082624
-4.43198	2.43997	-1.82126	-4.9364	4.35894	-0.00870493	-4.384806	2.399888	1477010456150000	-4.379848	2.453932	-1.861730	-4.842177	4.345331	-0.096263
-4.64893	1.93422	-1.94247	-4.94812	4.33831	-0.0386102	-4.292574	1.928541	1477010456250000	-4.568357	1.970717	-1.908533	-4.819942	4.335365	-0.109840
-4.8923	1.39711	-2.08669	-5.04394	4.32013	-0.0569253	-4.981646	1.436106	1477010456350000	-4.761856	1.489891	-1.961404	-4.794169	4.324043	-0.123349
-5.04168	0.963016	-2.00775	-4.86163	4.32074	-0.0549807	-4.985940	1.108938	1477010456450000	-4.960945	1.011817	-2.020190	-4.764679	4.311372	-0.136779
-5.19872	0.433791	-1.9949	-4.95288	4.32949	-0.0463517	-4.847363	0.181010	1477010456550000	-5.166206	0.536876	-2.084711	-4.731272	4.297360	-0.150124
-5.38266	-0.0319606	-1.96233	-4.8599	4.32863	-0.0395797	-5.998087	-0.290765	1477010456650000	-5.378204	0.065472	-2.154769	-4.693737	4.282015	-0.163373
-5.57042	-0.443437	-1.99381	-4.70347	4.31145	-0.0586288	-5.644467	-0.144522	1477010456750000	-5.597482	-0.401971	-2.230141	-4.651846	4.265349	-0.176519
-5.81585	-0.867329	-2.16794	-4.67044	4.2778	-0.0943723	-5.309474	-0.724468	1477010456850000	-5.824559	-0.865006	-2.310579	-4.605362	4.247370	-0.189554
-6.00583	-1.40828	-2.167	-4.80856	4.28899	-0.0735595	-5.680695	-1.528710	1477010456950000	-6.059928	-1.323159	-2.395814	-4.554039	4.228091	-0.202468
-6.28155	-1.87309	-2.38816	-4.85402	4.25517	-0.107187	-6.113554	-1.759657	1477010457050000	-6.304056	-1.775933	-2.485549	-4.497621	4.207524	-0.215255
-6.53807	-2.32842	-2.46058	-4.75663	4.235	-0.116637	-6.993440	-2.174453	1477010457150000	-6.557376	-2.222807	-2.579462	-4.435853	4.185681	-0.227907
-6.83875	-2.75774	-2.62118	-4.65162	4.19924	-0.141585	-7.144076	-2.675843	1477010457250000	-6.820290	-2.663229	-2.677204	-4.368474	4.162577	-0.240414
-7.06629	-3.2416	-2.60153	-4.63113	4.20057	-0.12538	-7.139366	-3.220278	1477010457350000	-7.093162	-3.096627	-2.778402	-4.295227	4.138226	-0.252769
-7.33766	-3.6815	-2.67813	-4.56127	4.18148	-0.131907	-7.771863	-4.089994	1477010457450000	-7.376317	-3.522399	-2.882652	-4.215858	4.112643	-0.264964
-7.63329	-4.03104	-2.81815	-4.35663	4.13822	-0.164319	-7.523927	-3.882128	1477010457550000	-7.670040	-3.939920	-2.989527	-4.130121	4.085845	-0.276993
-7.94182	-4.47593	-2.92206	-4.32562	4.11828	-0.166844	-8.085243	-4.578344	1477010457650000	-7.974572	-4.348541	-3.098570	-4.037780	4.057848	-0.288846
-8.24948	-4.9052	-2.93928	-4.19444	4.10116	-0.16373	-8.453001	-4.956205	1477010457750000	-8.290105	-4.747588	-3.209302	-3.938615	4.028670	-0.300517
-8.53148	-5.27731	-2.94335	-4.01589	4.07991	-0.168014	-8.550623	-4.792475	1477010457850000	-8.616782	-5.136369	-3.321214	-3.832420	3.998331	-0.311998
-8.88047	-5.67201	-3.08506	-3.94492	4.0487	-0.180828	-9.041146	-5.693635	1477010457950000	-8.954695	-5.514169	-3.433775	-3.719011	3.966847	-0.323282
-9.17646	-6.00496	-3.095	-3.74572	4.02183	-0.189259	-8.868969	-5.419733	1477010458050000	-9.303882	-5.880259	-3.546428	-3.598229	3.934241	-0.334362
-9.52093	-6.29553	-3.23693	-3.56281	3.97488	-0.21675	-9.806460	-6.411740	1477010458150000	-9.664322	-6.233892	-3.658598	-3.469939	3.900532	-0.345230
-9.88479	-6.66901	-3.4338	-3.57525	3.94717	-0.223717	-10.668828	-6.355433	1477010458250000	-10.035940	-6.574313	-3.769685	-3.334038	3.865741	-0.355881
-10.2722	-7.00224	-3.60513	-3.47684	3.90888	-0.238917	-10.220457	-6.710442	1477010458350000	-10.418590	-6.900754	-3.879073	-3.190457	3.829891	-0.366307
-10.7064	-7.33495	-3.80899	-3.35891	3.86428	-0.257951	-10.894366	-6.833353	1477010458450000	-10.812080	-7.212446	-3.986131	-3.039160	3.793004	-0.376501
-11.1406	-7.64235	-3.93495	-3.17307	3.82021	-0.27423	-10.986009	-7.370705	1477010458550000	-11.216130	-7.508615	-4.090214	-2.880154	3.755103	-0.386458
-11.4881	-7.91642	-3.92966	-3.00283	3.79409	-0.274075	-11.421325	-7.460853	1477010458650000	-11.630420	-7.788492	-4.190665	-2.713485	3.716213	-0.396170
-11.855	-8.13457	-3.89625	-2.72404	3.75174	-0.288573	-11.942204	-7.883171	1477010458750000	-12.054550	-8.051314	-4.286824	-2.539242	3.676358	-0.405632
-12.296	-8.3602	-4.15192	-2.60155	3.70133	-0.308281	-12.446234	-8.021167	1477010458850000	-12.488060	-8.296329	-4.378023	-2.357561	3.635563	-0.414838
-12.6983	-8.53426	-4.13296	-2.30128	3.64965	-0.328273	-12.746139	-8.194490	1477010458950000	-12.930420	-8.522802	-4.463597	-2.168626	3.593854	-0.423782
-13.2281	-8.73379	-4.42911	-2.11543	3.58718	-0.354105	-13.792890	-8.471582	1477010459050000	-13.381020	-8.730018	-4.542886	-1.972669	3.551257	-0.432459
-13.6539	-8.83589	-4.36477	-1.74453	3.52183	-0.383163	-13.637567	-8.263435	1477010459150000	-13.839220	-8.917288	-4.615237	-1.769971	3.507800	-0.440862
-14.1481	-9.02455	-4.62132	-1.64421	3.48342	-0.381496	-14.473697	-8.795522	1477010459250000	-14.304280	-9.083954	-4.680010	-1.560863	3.463509	-0.448987
-14.6094	-9.1966	-4.63928	-1.47955	3.45031	-0.377409	-14.575722	-9.326336	1477010459350000	-14.775400	-9.229392	-4.736584	-1.345729	3.418412	-0.456828
-15.1569	-9.27503	-4.81189	-1.17022	3.38015	-0.406036	-15.618872	-9.693647	1477010459450000	-15.251750	-9.353023	-4.784356	-1.125000	3.372539	-0.464380
-15.6703	-9.41204	-4.80582	-0.97616	3.34199	-0.40575	-15.938150	-9.357512	1477010459550000	-15.732410	-9.454310	-4.822755	-0.899159	3.325917	-0.471640
-16.1806	-9.50272	-4.83496	-0.756512	3.2968	-0.411206	-16.603270	-8.854592	1477010459650000	-16.216410	-9.532767	-4.851237	-0.668734	3.278577	-0.478601
-16.6418	-9.50599	-4.77724	-0.449568	3.23542	-0.430545	-16.010998	-9.334863	1477010459750000	-16.702740	-9.587966	-4.869295	-0.434301	3.230549	-0.485260
